瘤痢,瘤痢疙,老矫,浅加(m/s),浅氢(16规困)
212,全玫,2019-04-05 01:00,.7,360
212,全玫,2019-04-05 02:00,.7,20
212,全玫,2019-04-05 03:00,.8,20
212,全玫,2019-04-05 04:00,.5,140
212,全玫,2019-04-05 05:00,1.2,320
212,全玫,2019-04-05 06:00,.9,320
212,全玫,2019-04-05 07:00,1.5,270
212,全玫,2019-04-05 08:00,2.6,270
212,全玫,2019-04-05 09:00,1.4,290
212,全玫,2019-04-05 10:00,3.1,270
212,全玫,2019-04-05 11:00,3.8,250
212,全玫,2019-04-05 12:00,2.6,200
212,全玫,2019-04-05 13:00,3.9,230
212,全玫,2019-04-05 14:00,4,270
212,全玫,2019-04-05 15:00,4.9,290
212,全玫,2019-04-05 16:00,4.1,270
212,全玫,2019-04-05 17:00,4,250
212,全玫,2019-04-05 18:00,3.2,250
212,全玫,2019-04-05 19:00,2.8,250
212,全玫,2019-04-05 20:00,1,200
212,全玫,2019-04-05 21:00,1.5,200
212,全玫,2019-04-05 22:00,1.9,230
212,全玫,2019-04-05 23:00,.4,0
212,全玫,2019-04-06 00:00,.2,0
